Antecedente,Consequente,Suporte,Confianca,Lift,Quantidade_antecedente,Pergunta,Resposta,Classificacao,Analise_critica,Utilidade
"{avaliacao_media, genero_infantil}",{genero_animacao},0.03206357906275692,0.582089552238806,9.357025445459925,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil, com que frequência ele também apresenta gênero animação?","Na amostra, 58.21% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil também apresentam gênero animação. A regra ocorre em 3.21% de todos os filmes e possui lift 9.36, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_aventura, genero_infantil}",{genero_animacao},0.025212386955330228,0.5644171779141105,9.072943974487178,2,"Quando um filme apresenta gênero aventura e gênero infantil, com que frequência ele também apresenta gênero animação?","Na amostra, 56.44% dos filmes com gênero aventura e gênero infantil também apresentam gênero animação. A regra ocorre em 2.52% de todos os filmes e possui lift 9.07, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_animacao, genero_aventura}",{genero_infantil},0.025212386955330228,0.7603305785123967,8.724673839596653,2,"Quando um filme apresenta gênero animação e gênero aventura, com que frequência ele também apresenta gênero infantil?","Na amostra, 76.03% dos filmes com gênero animação e gênero aventura também apresentam gênero infantil. A regra ocorre em 2.52% de todos os filmes e possui lift 8.72, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_animacao}",{genero_infantil},0.03206357906275692,0.6724137931034483,7.715842550422901,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero animação, com que frequência ele também apresenta gênero infantil?","Na amostra, 67.24% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero animação também apresentam gênero infantil. A regra ocorre em 3.21% de todos os filmes e possui lift 7.72, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_animacao, popularidade_media}",{genero_infantil},0.02247191011235955,0.6666666666666666,7.649895178197064,2,"Quando um filme apresenta gênero animação e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero infantil?","Na amostra, 66.67% dos filmes com gênero animação e popularidade intermediária (10 a 49 avaliações) também apresentam gênero infantil. A regra ocorre em 2.25% de todos os filmes e possui lift 7.65, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_animacao},{genero_infantil},0.040833104960263086,0.6563876651982379,7.531945252542044,1,"Quando um filme apresenta gênero animação, com que frequência ele também apresenta gênero infantil?","Na amostra, 65.64% dos filmes com gênero animação também apresentam gênero infantil. A regra ocorre em 4.08% de todos os filmes e possui lift 7.53, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_animacao, genero_comedia}",{genero_infantil},0.020827624006577145,0.6551724137931035,7.518000433745392,2,"Quando um filme apresenta gênero animação e gênero comédia, com que frequência ele também apresenta gênero infantil?","Na amostra, 65.52% dos filmes com gênero animação e gênero comédia também apresentam gênero infantil. A regra ocorre em 2.08% de todos os filmes e possui lift 7.52, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_imax},{periodo_2010_2018},0.021923814743765414,0.6611570247933883,5.210717026935365,1,"Quando um filme apresenta formato IMAX, com que frequência ele também apresenta lançamento entre 2010 e 2018?","Na amostra, 66.12% dos filmes com formato IMAX também apresentam lançamento entre 2010 e 2018. A regra ocorre em 2.19% de todos os filmes e possui lift 5.21, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_acao, genero_fantasia}",{genero_aventura},0.02274595779665662,0.7410714285714286,4.000250950972105,2,"Quando um filme apresenta gênero ação e gênero fantasia, com que frequência ele também apresenta gênero aventura?","Na amostra, 74.11% dos filmes com gênero ação e gênero fantasia também apresentam gênero aventura. A regra ocorre em 2.27% de todos os filmes e possui lift 4.00, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_aventura, genero_suspense}",{genero_acao},0.03151548369416279,0.851851851851852,3.349576947637293,2,"Quando um filme apresenta gênero aventura e gênero suspense, com que frequência ele também apresenta gênero ação?","Na amostra, 85.19% dos filmes com gênero aventura e gênero suspense também apresentam gênero ação. A regra ocorre em 3.15% de todos os filmes e possui lift 3.35, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_animacao, genero_infantil}",{genero_aventura},0.025212386955330228,0.6174496644295302,3.332949446010881,2,"Quando um filme apresenta gênero animação e gênero infantil, com que frequência ele também apresenta gênero aventura?","Na amostra, 61.74% dos filmes com gênero animação e gênero infantil também apresentam gênero aventura. A regra ocorre em 2.52% de todos os filmes e possui lift 3.33, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_infantil}",{genero_aventura},0.031241436009865717,0.5671641791044777,3.061511966793253,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil, com que frequência ele também apresenta gênero aventura?","Na amostra, 56.72% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil também apresentam gênero aventura. A regra ocorre em 3.12% de todos os filmes e possui lift 3.06, indicando uma associação forte.",interessante ou parcialmente surpreendente,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
