Numero,Antecedente,Consequente,Suporte,Confianca,Lift,Ocorrencias_antecedente,Ocorrencias_conjuntas,Classificacao,Pergunta,Resposta,Discussao_critica,Utilidade
1,"{avaliacao_media, genero_infantil}",{genero_animacao},0.03206357906275692,0.582089552238806,9.357025445459925,201,117,parcialmente esperada,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil e gênero animação?","Entre os 201 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil, 117 também apresentam gênero animação (58.21%). A combinação representa 3.21% da amostra e possui lift 9.36, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Dentro dos filmes infantis com avaliação intermediária, a animação é muito mais comum do que no catálogo geral. O lift elevado também reflete a baixa frequência global de animação; a regra descreve a estrutura de classificação, não um efeito da avaliação.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
2,"{genero_aventura, genero_infantil}",{genero_animacao},0.025212386955330228,0.5644171779141104,9.072943974487176,163,92,parcialmente esperada,Que padrão foi encontrado entre gênero aventura e gênero infantil e gênero animação?,"Entre os 163 filmes com gênero aventura e gênero infantil, 92 também apresentam gênero animação (56.44%). A combinação representa 2.52% da amostra e possui lift 9.07, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes que combinam aventura e conteúdo infantil frequentemente são animações. Parte da força decorre da sobreposição editorial dos gêneros, portanto o resultado é um padrão de catálogo, não causal.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
3,{genero_imax},{periodo_2010_2018},0.021923814743765414,0.6611570247933884,5.210717026935366,121,80,interessante,Que padrão foi encontrado entre formato IMAX e lançamento entre 2010 e 2018?,"Entre os 121 filmes com formato IMAX, 80 também apresentam lançamento entre 2010 e 2018 (66.12%). A combinação representa 2.19% da amostra e possui lift 5.21, logo ocorre acima do que seria esperado pela frequência geral do consequente.",A concentração de títulos IMAX no período mais recente é coerente com a expansão comercial do formato. O padrão pode ser influenciado pelo recorte temporal e por relançamentos catalogados.,Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
4,"{genero_acao, genero_fantasia}",{genero_aventura},0.02274595779665662,0.7410714285714286,4.000250950972105,112,83,"interessante, embora plausível",Que padrão foi encontrado entre gênero ação e gênero fantasia e gênero aventura?,"Entre os 112 filmes com gênero ação e gênero fantasia, 83 também apresentam gênero aventura (74.11%). A combinação representa 2.27% da amostra e possui lift 4.00, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A combinação ação-fantasia associa-se a aventura muito acima do esperado. Isso caracteriza filmes de espetáculo, mas os rótulos podem ter sido atribuídos em conjunto.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
5,"{genero_aventura, genero_suspense}",{genero_acao},0.03151548369416279,0.8518518518518519,3.349576947637293,135,115,interessante,Que padrão foi encontrado entre gênero aventura e gênero suspense e gênero ação?,"Entre os 135 filmes com gênero aventura e gênero suspense, 115 também apresentam gênero ação (85.19%). A combinação representa 3.15% da amostra e possui lift 3.35, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A confiança acima de 85% torna o antecedente muito informativo para ação. O suporte é baixo, porém ainda representa mais de cem filmes, sendo útil para descrever híbridos de gênero.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
6,"{avaliacao_media, genero_infantil}",{genero_aventura},0.031241436009865717,0.5671641791044776,3.0615119667932524,201,114,interessante,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil e gênero aventura?","Entre os 201 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil, 114 também apresentam gênero aventura (56.72%). A combinação representa 3.12% da amostra e possui lift 3.06, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Entre filmes infantis com avaliação intermediária, aventura aparece mais de três vezes acima de sua frequência geral. A avaliação apenas delimita o subconjunto e não deve ser tratada como causa.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
7,"{genero_ficcao_cientifica, periodo_2010_2018}",{genero_acao},0.02247191011235955,0.7454545454545455,2.9312108150470224,110,82,interessante,Que padrão foi encontrado entre gênero ficção científica e lançamento entre 2010 e 2018 e gênero ação?,"Entre os 110 filmes com gênero ficção científica e lançamento entre 2010 e 2018, 82 também apresentam gênero ação (74.55%). A combinação representa 2.25% da amostra e possui lift 2.93, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes recentes de ficção científica estão fortemente associados à ação, compatível com grandes produções e franquias do período. O recorte até 2018 e o perfil dos usuários podem amplificar o padrão.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
8,"{genero_aventura, genero_ficcao_cientifica}",{genero_acao},0.03672238969580707,0.7204301075268817,2.8328119206525773,186,134,"interessante, embora plausível",Que padrão foi encontrado entre gênero aventura e gênero ficção científica e gênero ação?,"Entre os 186 filmes com gênero aventura e gênero ficção científica, 134 também apresentam gênero ação (72.04%). A combinação representa 3.67% da amostra e possui lift 2.83, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A combinação aventura-ficção científica costuma assumir estrutura de ação. O lift confirma concentração acima da frequência-base, embora a proximidade temática reduza a novidade.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
9,"{genero_acao, genero_crime}",{genero_suspense},0.03590024664291587,0.6328502415458938,2.5946859903381645,207,131,interessante,Que padrão foi encontrado entre gênero ação e gênero crime e gênero suspense?,"Entre os 207 filmes com gênero ação e gênero crime, 131 também apresentam gênero suspense (63.29%). A combinação representa 3.59% da amostra e possui lift 2.59, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A presença conjunta de ação e crime aumenta substancialmente suspense. O padrão faz sentido em narrativas criminais tensas, mas não implica que um gênero produza o outro.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
10,"{genero_aventura, periodo_2010_2018}",{genero_acao},0.023568100849547823,0.6466165413533834,2.5425687062483795,133,86,interessante,Que padrão foi encontrado entre gênero aventura e lançamento entre 2010 e 2018 e gênero ação?,"Entre os 133 filmes com gênero aventura e lançamento entre 2010 e 2018, 86 também apresentam gênero ação (64.66%). A combinação representa 2.36% da amostra e possui lift 2.54, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Aventura no período recente aparece ligada à ação, possivelmente pelo predomínio de blockbusters. A interpretação deve considerar o tamanho menor do período 2010–2018.",Descrever padrões do catálogo e apoiar segmentação exploratória; não usar isoladamente como recomendação nem como evidência causal.
