banco,experimento,numero,antecedente,consequente,suporte,confianca,lift,pergunta,resposta,analise_critica
f1,1950–2024,1,Venceu,Grid_Front,0.04149643515,0.925,3.430414439,"No período 1950–2024, o que ocorre quando há Venceu?","Aparece Grid_Front com confiança de 92.50%, suporte de 4.15% e lift 3.43.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,2,Equipe_Mercedes | Venceu,Grid_Front,0.02572859745,0.9826086957,3.274368279,"No período 2014–2024, o que ocorre quando há Equipe_Mercedes | Venceu?","Aparece Grid_Front com confiança de 98.26%, suporte de 2.57% e lift 3.27.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,3,Venceu,Grid_Front,0.04804189435,0.9590909091,3.195999448,"No período 2014–2024, o que ocorre quando há Venceu?","Aparece Grid_Front com confiança de 95.91%, suporte de 4.80% e lift 3.20.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,1950–1959,4,Venceu,Grid_Front,0.03919546158,0.8735632184,3.171983297,"No período 1950–1959, o que ocorre quando há Venceu?","Aparece Grid_Front com confiança de 87.36%, suporte de 3.92% e lift 3.17.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,5,Equipe_Ferrari | Podio,Grid_Front,0.02504553734,0.9401709402,3.132952025,"No período 2014–2024, o que ocorre quando há Equipe_Ferrari | Podio?","Aparece Grid_Front com confiança de 94.02%, suporte de 2.50% e lift 3.13.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,6,Equipe_Mercedes | Podio,Grid_Front,0.03096539162,0.9189189189,3.062133454,"No período 2014–2024, o que ocorre quando há Equipe_Mercedes | Podio?","Aparece Grid_Front com confiança de 91.89%, suporte de 3.10% e lift 3.06.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,7,Podio,Grid_Front,0.0883424408,0.8818181818,2.938501862,"No período 2014–2024, o que ocorre quando há Podio?","Aparece Grid_Front com confiança de 88.18%, suporte de 8.83% e lift 2.94.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,1950–2024,8,Podio,Grid_Front,0.06777217015,0.7513321492,2.786357462,"No período 1950–2024, o que ocorre quando há Podio?","Aparece Grid_Front com confiança de 75.13%, suporte de 6.78% e lift 2.79.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,9,Equipe_Mercedes,Grid_Front,0.08333333333,0.8337129841,2.778199868,"No período 2014–2024, o que ocorre quando há Equipe_Mercedes?","Aparece Grid_Front com confiança de 83.37%, suporte de 8.33% e lift 2.78.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,1950–1959,10,Equipe_Ferrari | Podio,Grid_Front,0.034038164,0.7586206897,2.754617073,"No período 1950–1959, o que ocorre quando há Equipe_Ferrari | Podio?","Aparece Grid_Front com confiança de 75.86%, suporte de 3.40% e lift 2.75.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,1950–1959,11,Podio,Grid_Front,0.06291903043,0.6559139785,2.381680158,"No período 1950–1959, o que ocorre quando há Podio?","Aparece Grid_Front com confiança de 65.59%, suporte de 6.29% e lift 2.38.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,1950–2024,12,Equipe_Ferrari,Grid_Front,0.06160378114,0.6402997502,2.374587576,"No período 1950–2024, o que ocorre quando há Equipe_Ferrari?","Aparece Grid_Front com confiança de 64.03%, suporte de 6.16% e lift 2.37.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,13,Equipe_Red Bull,Grid_Front,0.06944444444,0.710955711,2.369133143,"No período 2014–2024, o que ocorre quando há Equipe_Red Bull?","Aparece Grid_Front com confiança de 71.10%, suporte de 6.94% e lift 2.37.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,14,Equipe_Ferrari,Grid_Front,0.07081056466,0.7100456621,2.366100567,"No período 2014–2024, o que ocorre quando há Equipe_Ferrari?","Aparece Grid_Front com confiança de 71.00%, suporte de 7.08% e lift 2.37.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
f1,2014–2024,15,Equipe_Sauber | Nao_Pontuou,Grid_Back,0.03096539162,0.9127516779,2.277730323,"No período 2014–2024, o que ocorre quando há Equipe_Sauber | Nao_Pontuou?","Aparece Grid_Back com confiança de 91.28%, suporte de 3.10% e lift 2.28.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
movie_recomm,catalogo_completo,1,"{avaliacao_media, genero_infantil}",{genero_animacao},0.03206357906,0.5820895522,9.357025445,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil e gênero animação?","Entre os 201 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil, 117 também apresentam gênero animação (58.21%). A combinação representa 3.21% da amostra e possui lift 9.36, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Dentro dos filmes infantis com avaliação intermediária, a animação é muito mais comum do que no catálogo geral. O lift elevado também reflete a baixa frequência global de animação; a regra descreve a estrutura de classificação, não um efeito da avaliação."
movie_recomm,catalogo_completo,2,"{genero_aventura, genero_infantil}",{genero_animacao},0.02521238696,0.5644171779,9.072943974,Que padrão foi encontrado entre gênero aventura e gênero infantil e gênero animação?,"Entre os 163 filmes com gênero aventura e gênero infantil, 92 também apresentam gênero animação (56.44%). A combinação representa 2.52% da amostra e possui lift 9.07, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes que combinam aventura e conteúdo infantil frequentemente são animações. Parte da força decorre da sobreposição editorial dos gêneros, portanto o resultado é um padrão de catálogo, não causal."
movie_recomm,catalogo_completo,3,{genero_imax},{periodo_2010_2018},0.02192381474,0.6611570248,5.210717027,Que padrão foi encontrado entre formato IMAX e lançamento entre 2010 e 2018?,"Entre os 121 filmes com formato IMAX, 80 também apresentam lançamento entre 2010 e 2018 (66.12%). A combinação representa 2.19% da amostra e possui lift 5.21, logo ocorre acima do que seria esperado pela frequência geral do consequente.",A concentração de títulos IMAX no período mais recente é coerente com a expansão comercial do formato. O padrão pode ser influenciado pelo recorte temporal e por relançamentos catalogados.
movie_recomm,catalogo_completo,4,"{genero_acao, genero_fantasia}",{genero_aventura},0.0227459578,0.7410714286,4.000250951,Que padrão foi encontrado entre gênero ação e gênero fantasia e gênero aventura?,"Entre os 112 filmes com gênero ação e gênero fantasia, 83 também apresentam gênero aventura (74.11%). A combinação representa 2.27% da amostra e possui lift 4.00, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A combinação ação-fantasia associa-se a aventura muito acima do esperado. Isso caracteriza filmes de espetáculo, mas os rótulos podem ter sido atribuídos em conjunto."
movie_recomm,catalogo_completo,5,"{genero_aventura, genero_suspense}",{genero_acao},0.03151548369,0.8518518519,3.349576948,Que padrão foi encontrado entre gênero aventura e gênero suspense e gênero ação?,"Entre os 135 filmes com gênero aventura e gênero suspense, 115 também apresentam gênero ação (85.19%). A combinação representa 3.15% da amostra e possui lift 3.35, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A confiança acima de 85% torna o antecedente muito informativo para ação. O suporte é baixo, porém ainda representa mais de cem filmes, sendo útil para descrever híbridos de gênero."
movie_recomm,catalogo_completo,6,"{avaliacao_media, genero_infantil}",{genero_aventura},0.03124143601,0.5671641791,3.061511967,"Que padrão foi encontrado entre avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil e gênero aventura?","Entre os 201 filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero infantil, 114 também apresentam gênero aventura (56.72%). A combinação representa 3.12% da amostra e possui lift 3.06, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Entre filmes infantis com avaliação intermediária, aventura aparece mais de três vezes acima de sua frequência geral. A avaliação apenas delimita o subconjunto e não deve ser tratada como causa."
movie_recomm,catalogo_completo,7,"{genero_ficcao_cientifica, periodo_2010_2018}",{genero_acao},0.02247191011,0.7454545455,2.931210815,Que padrão foi encontrado entre gênero ficção científica e lançamento entre 2010 e 2018 e gênero ação?,"Entre os 110 filmes com gênero ficção científica e lançamento entre 2010 e 2018, 82 também apresentam gênero ação (74.55%). A combinação representa 2.25% da amostra e possui lift 2.93, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Filmes recentes de ficção científica estão fortemente associados à ação, compatível com grandes produções e franquias do período. O recorte até 2018 e o perfil dos usuários podem amplificar o padrão."
movie_recomm,catalogo_completo,8,"{genero_aventura, genero_ficcao_cientifica}",{genero_acao},0.0367223897,0.7204301075,2.832811921,Que padrão foi encontrado entre gênero aventura e gênero ficção científica e gênero ação?,"Entre os 186 filmes com gênero aventura e gênero ficção científica, 134 também apresentam gênero ação (72.04%). A combinação representa 3.67% da amostra e possui lift 2.83, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A combinação aventura-ficção científica costuma assumir estrutura de ação. O lift confirma concentração acima da frequência-base, embora a proximidade temática reduza a novidade."
movie_recomm,catalogo_completo,9,"{genero_acao, genero_crime}",{genero_suspense},0.03590024664,0.6328502415,2.59468599,Que padrão foi encontrado entre gênero ação e gênero crime e gênero suspense?,"Entre os 207 filmes com gênero ação e gênero crime, 131 também apresentam gênero suspense (63.29%). A combinação representa 3.59% da amostra e possui lift 2.59, logo ocorre acima do que seria esperado pela frequência geral do consequente.","A presença conjunta de ação e crime aumenta substancialmente suspense. O padrão faz sentido em narrativas criminais tensas, mas não implica que um gênero produza o outro."
movie_recomm,catalogo_completo,10,"{genero_aventura, periodo_2010_2018}",{genero_acao},0.02356810085,0.6466165414,2.542568706,Que padrão foi encontrado entre gênero aventura e lançamento entre 2010 e 2018 e gênero ação?,"Entre os 133 filmes com gênero aventura e lançamento entre 2010 e 2018, 86 também apresentam gênero ação (64.66%). A combinação representa 2.36% da amostra e possui lift 2.54, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Aventura no período recente aparece ligada à ação, possivelmente pelo predomínio de blockbusters. A interpretação deve considerar o tamanho menor do período 2010–2018."
movie_recomm,catalogo_completo,11,"{genero_ficcao_cientifica, genero_suspense}",{genero_acao},0.03041929296,0.6416184971,2.522915836,Que padrão foi encontrado entre gênero ficção científica e gênero suspense e gênero ação?,"Entre os 173 filmes com gênero ficção científica e gênero suspense, 111 também apresentam gênero ação (64.16%). A combinação representa 3.04% da amostra e possui lift 2.52, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Ficção científica combinada com suspense apresenta ação muito acima da frequência geral. É um padrão de hibridização parcialmente dependente da rotulagem editorial.
movie_recomm,catalogo_completo,12,"{avaliacao_baixa, genero_aventura}",{genero_acao},0.02877500685,0.6402439024,2.517510776,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero aventura e gênero ação?","Entre os 164 filmes com avaliação média baixa (menor que 3,0) e gênero aventura, 105 também apresentam gênero ação (64.02%). A combinação representa 2.88% da amostra e possui lift 2.52, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Mesmo entre aventuras de avaliação baixa, ação permanece frequente. Isso pode refletir concentração de títulos de ação-aventura mal avaliados, sem indicar que ação reduza a nota."
movie_recomm,catalogo_completo,13,"{genero_terror, popularidade_media}",{genero_suspense},0.02411619622,0.6111111111,2.505555556,Que padrão foi encontrado entre gênero terror e popularidade intermediária (10 a 49 avaliações) e gênero suspense?,"Entre os 144 filmes com gênero terror e popularidade intermediária (10 a 49 avaliações), 88 também apresentam gênero suspense (61.11%). A combinação representa 2.41% da amostra e possui lift 2.51, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Terror com popularidade intermediária apresenta suspense 2,5 vezes acima do esperado. A proximidade temática explica parte do resultado; popularidade apenas define o subconjunto."
movie_recomm,catalogo_completo,14,{genero_imax},{genero_acao},0.02082762401,0.6280991736,2.469756341,Que padrão foi encontrado entre formato IMAX e gênero ação?,"Entre os 121 filmes com formato IMAX, 76 também apresentam gênero ação (62.81%). A combinação representa 2.08% da amostra e possui lift 2.47, logo ocorre acima do que seria esperado pela frequência geral do consequente.","IMAX aparece associado a ação, coerente com produções de grande espetáculo. O suporte é baixo porque IMAX é raro, mas o lift confirma concentração acima da frequência-base."
movie_recomm,catalogo_completo,15,"{avaliacao_baixa, genero_ficcao_cientifica}",{genero_acao},0.02493833927,0.6232876712,2.450836974,"Que padrão foi encontrado entre avaliação média baixa (menor que 3,0) e gênero ficção científica e gênero ação?","Entre os 146 filmes com avaliação média baixa (menor que 3,0) e gênero ficção científica, 91 também apresentam gênero ação (62.33%). A combinação representa 2.49% da amostra e possui lift 2.45, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Ficção científica com avaliação baixa continua associada à ação. Pode representar títulos de ação e ficção científica menos bem recebidos, não um efeito causal do gênero."
movie_recomm,catalogo_completo,16,"{genero_aventura, popularidade_alta}",{genero_acao},0.02219786243,0.6136363636,2.412886951,Que padrão foi encontrado entre gênero aventura e popularidade alta (50 ou mais avaliações) e gênero ação?,"Entre os 132 filmes com gênero aventura e popularidade alta (50 ou mais avaliações), 81 também apresentam gênero ação (61.36%). A combinação representa 2.22% da amostra e possui lift 2.41, logo ocorre acima do que seria esperado pela frequência geral do consequente.","Entre aventuras muito avaliadas, ação é mais de duas vezes mais frequente que no catálogo geral. A maior visibilidade de franquias pode contribuir para o padrão."
movie_recomm,catalogo_completo,17,"{genero_suspense, popularidade_alta}",{genero_acao},0.02027952864,0.6115702479,2.404762753,Que padrão foi encontrado entre gênero suspense e popularidade alta (50 ou mais avaliações) e gênero ação?,"Entre os 121 filmes com gênero suspense e popularidade alta (50 ou mais avaliações), 74 também apresentam gênero ação (61.16%). A combinação representa 2.03% da amostra e possui lift 2.40, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Suspenses muito avaliados concentram ação. Isso pode refletir maior exposição de thrillers de ação em comparação com suspenses de nicho.
movie_recomm,catalogo_completo,18,"{genero_crime, periodo_2000_2009}",{genero_suspense},0.03124143601,0.5757575758,2.360606061,Que padrão foi encontrado entre gênero crime e lançamento entre 2000 e 2009 e gênero suspense?,"Entre os 198 filmes com gênero crime e lançamento entre 2000 e 2009, 114 também apresentam gênero suspense (57.58%). A combinação representa 3.12% da amostra e possui lift 2.36, logo ocorre acima do que seria esperado pela frequência geral do consequente.",Crime nos anos 2000 associa-se a suspense acima da frequência-base. A regra descreve o catálogo da década e não deve ser generalizada para toda a produção cinematográfica.
